Complaint number,Complaint filed against,Complaint filed by,Reason complaint filed,Confirmed complaint,How resolved,Received date,Closed date,Complaint type,Coverage type,Coverage level,Others involved,Respondent ID,Respondent Role,Respondent type,Complainant type,Keywords
394923,State Farm Lloyds,Other,Cust Service Claim Handling; Delays (Claims Handling),No,Question of Fact; Additional Monies Received; Contract Language/Legal Issue,6/7/2024,8/15/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Correspondent Person; Insured; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
394938,State Farm Mutual Automobile Insurance Company,Relative,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Question of Fact; Information Furnished,6/7/2024,7/24/2024,Property and Casualty,Automobile,Business Automobile,Associated Subject Person; Insured; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,AFTERMARKET PARTS
394946,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling),No,Information Furnished; Question of Fact,6/7/2024,8/6/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
394964,State Farm Lloyds,Insured,Denial Of Claim,Yes,Contract Language/Legal Issue; Question of Fact; Company Position Upheld,6/10/2024,8/26/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; HAIL; ROOF
394990,State Farm Lloyds,Other,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Claim Settled; Contract Language/Legal Issue; Company Position Upheld,6/10/2024,9/25/2024,Property and Casualty,Homeowners,Homeowners,Correspondent Person; Insured; Portal - Company,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DEDUCTIBLE; HAIL; PLUMBING; ROOF; WATER DAMAGE
395000,State Farm Mutual Automobile Insurance Company,Third Party,Cust Service Claim Handling; Delays (Claims Handling); Denial Of Claim; Liability Dispute,Yes,Claim Settled; Contract Language/Legal Issue; Corrective Action Taken,6/10/2024,8/19/2024,Property and Casualty,Automobile,Individual Private Pass,Insured; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DIMINISHED VALUE; LOSS OF USE
395017,State Farm Mutual Automobile Insurance Company,Insured,Other,No,Record Only,6/10/2024,6/10/2024,Property and Casualty,Automobile,Individual Private Pass,Portal - Insured; Portal - Other,1510,Ins Co - Licensed/Active,Organization,INDV,
395024,State Farm Mutual Automobile Insurance Company,Insured,Cancellation; Non-Renewal,No,Contract Language/Legal Issue; Company Position Upheld,6/10/2024,8/30/2024,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
395025,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Contract Language/Legal Issue; Additional Payment Expected; Question of Fact,6/10/2024,9/24/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; HAIL; OVERHEAD AND PROFIT; ROOF; WATER DAMAGE; WIND
395026,State Farm Lloyds,Insured,Cust Service Claim Handling; Denial Of Claim; Unsatisfactory Settle/Offer,No,Contract Language/Legal Issue; Company Position Upheld; Information Furnished,6/10/2024,9/10/2024,Property and Casualty,Homeowners,Homeowners,Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; WATER DAMAGE
395027,State Farm Lloyds,Insured,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Company Position Upheld; Information Furnished,6/10/2024,8/30/2024,Property and Casualty,Homeowners,Rental,Associated Subject Person; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,HAIL; ROOF
395031,State Farm Lloyds,Other,Unsatisfactory Settle/Offer,No,Additional Payment Expected; Information Furnished,6/10/2024,7/29/2024,Property and Casualty,Homeowners,Homeowners,Correspondent Person; Insured; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; HAIL; ROOF
395046,State Farm Mutual Automobile Insurance Company,Insured,Unsatisfactory Settle/Offer,No,Information Furnished; Additional Monies Received,6/10/2024,8/29/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Agent/Adjuster; Portal - Attorney; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DIMINISHED VALUE; TOTAL LOSS
395083,State Farm Lloyds,Other,Cust Service Claim Handling; Delays (Claims Handling),No,Company Position Upheld; Question of Fact,6/11/2024,7/26/2024,Property and Casualty,Homeowners,Homeowners,Correspondent Person; Insured; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; DAMAGE DISPUTE; ROOF; WATER DAMAGE; WIND
395085,State Farm Mutual Automobile Insurance Company,Insured,Cust Srvc Policy Holder Srvcs; Delays (Policyholder Service); Refund Of Premium,Yes,Premium Refunded; Information Furnished,6/11/2024,8/9/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Agency; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,SENIOR CITIZEN
395087,State Farm Lloyds,Other,Cust Service Claim Handling; Delays (Claims Handling),Yes,Corrective Action Taken; Information Furnished,6/11/2024,9/26/2024,Property and Casualty,Homeowners,Homeowners,Correspondent Person; Insured; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,ORG,
395104,State Farm Mutual Automobile Insurance Company,Attorney,Cust Service Claim Handling; Delays (Claims Handling),No,Question of Fact; Information Furnished; Company Position Upheld,6/11/2024,7/25/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Correspondent Person; Portal - Agent/Adjuster; Portal - Attorney; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,ORG,
395112,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Information Furnished; Company Position Upheld; Question of Fact,6/10/2024,9/26/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; HAIL; ROOF; WIND
395114,State Farm Lloyds,Insured,Refusal to Insure,No,Information Furnished; Question of Fact,6/10/2024,10/22/2024,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,
395131,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Cust Srvc Policy Holder Srvcs; Delays (Policyholder Service),Yes,Corrective Action Taken; Information Furnished,6/11/2024,8/7/2024,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; STORAGE FEE; TOTAL LOSS
395135,State Farm Mutual Automobile Insurance Company,Attorney,Cust Service Claim Handling; Delays (Claims Handling),No,Question of Fact; Contract Language/Legal Issue; Insufficient Information,6/11/2024,8/30/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Attorney; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
395138,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Contract Language/Legal Issue; Company Position Upheld; Question of Fact,6/11/2024,9/6/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,DAMAGE DISPUTE; DEDUCTIBLE; HAIL; ROOF; WIND
395142,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Information Furnished; Contract Language/Legal Issue; Claim Settled,6/11/2024,10/2/2024,Property and Casualty,Homeowners,Homeowners,Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; APPRAISAL; DAMAGE DISPUTE; DEDUCTIBLE; DEPRECIATION; HAIL; ROOF; WIND
395165,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Contract Language/Legal Issue; Information Furnished; Additional Monies Received,6/11/2024,9/5/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Portal - Agent/Adjuster; Portal - Attorney; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,APPRAISAL; DAMAGE DISPUTE; DEDUCTIBLE; HAIL; MOLD; ROOF; WATER DAMAGE
395209,State Farm Lloyds,Insured,Cust Service Claim Handling; Unsatisfactory Settle/Offer,Yes,Additional Payment Expected; Additional Monies Received; Corrective Action Taken,6/12/2024,9/30/2024,Property and Casualty,Homeowners,Homeowners,Portal - Agent/Adjuster; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; PLUMBING; ROOF; WATER DAMAGE; WIND
395222,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling),Yes,Claim Settled; Information Furnished; Corrective Action Taken,6/12/2024,8/19/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Agency; Portal - Agent/Adjuster; Portal - Company; Portal - Insured; Portal - Other,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; HAIL; STORAGE FEE; TOTAL LOSS
395234,State Farm Mutual Automobile Insurance Company,Attorney,Delays (Claims Handling),No,Information Furnished; Additional Payment Expected,6/12/2024,8/29/2024,Property and Casualty,Automobile,Business Automobile,Associated Subject Person; Correspondent Person; Insured; Portal - Attorney; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; UNCOOPERATIVE INSURED
395235,State Farm Mutual Automobile Insurance Company,Insured,Cust Srvc Policy Holder Srvcs; Non-Renewal,Yes,Non-Renewal Rescinded; Additional Monies Received; Corrective Action Taken,6/12/2024,7/30/2024,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,SENIOR CITIZEN
395264,State Farm Life Insurance Company,Insured,Cust Srvc Policy Holder Srvcs; Delays (Policyholder Service); Refund Of Premium,No,Information Furnished; Contract Language/Legal Issue; Company Position Upheld,3/8/2024,6/12/2024,"Life, Accident and Health",Life & Annuity,Individual Life,Associated Subject Person,1509,Ins Co - Licensed/Active,Organization,INDV,
395266,State Farm Mutual Automobile Insurance Company,Third Party,Unsatisfactory Settle/Offer,No,Company Position Upheld; Information Furnished; Contract Language/Legal Issue,6/12/2024,8/20/2024,Property and Casualty,Automobile,Individual Private Pass,Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,TOTAL LOSS
395276,State Farm Mutual Automobile Insurance Company,Third Party,Cust Service Claim Handling; Delays (Claims Handling),Yes,Question of Fact; Information Furnished; Claim Settled,6/12/2024,7/9/2024,Property and Casualty,Automobile,Individual Private Pass,Insured; Portal - Agent/Adjuster; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; LOSS OF USE
395283,State Farm Lloyds,Other,Denial Of Claim,No,Question of Fact; Company Position Upheld,6/12/2024,7/31/2024,Property and Casualty,Homeowners,Homeowners,Correspondent Person; Insured; Portal - Insured; Portal - Other Company,3105,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; DAMAGE DISPUTE; HAIL; ROOF
395285,State Farm Lloyds,Other,Cust Service Claim Handling; Delays (Claims Handling),No,Question of Fact; Company Position Upheld; Contract Language/Legal Issue,6/12/2024,8/22/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Correspondent Person; Insured; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; HAIL; ROOF; WATER DAMAGE
395301,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,Yes,Question of Fact; Claim Settled; Information Furnished,6/13/2024,9/1/2024,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ACV; ADJUSTER'S HANDLING; APPRAISAL; TOTAL LOSS
395302,State Farm Mutual Automobile Insurance Company,Attorney,Cust Service Claim Handling; Delays (Claims Handling),Yes,Corrective Action Taken; Question of Fact; Information Furnished,6/13/2024,8/27/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Correspondent Company; Correspondent Person; Insured; Portal - Agent/Adjuster; Portal - Attorney; Portal - Other; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
395316,State Farm Lloyds,Insured,Cust Service Claim Handling; Unsatisfactory Settle/Offer,No,Additional Payment Expected; Company Position Upheld; Question of Fact,6/13/2024,7/31/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; HAIL; ROOF; SENIOR CITIZEN; WIND
395322,State Farm Mutual Automobile Insurance Company,Third Party,Cust Service Claim Handling; Unsatisfactory Settle/Offer,No,Company Position Upheld; Information Furnished; Claim Settled,6/13/2024,8/29/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Insured; Portal - Other Company,1510,U.S. Domiciled Insurer,Organization,INDV,DAMAGE DISPUTE; REPAIR CHOICE
395342,State Farm Mutual Automobile Insurance Company,Insured,Premium and Rating; Refund Of Premium,Yes,Claim Settled; Contract Language/Legal Issue; Information Furnished,6/13/2024,8/21/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Insured; Portal - Agency; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
395356,State Farm Lloyds,Insured,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Additional Payment Expected; Company Position Upheld; Additional Monies Received,6/13/2024,8/26/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Portal - Agency; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,HAIL; ROOF; WATER DAMAGE; WIND
395362,State Farm Mutual Automobile Insurance Company,Provider,Delays (Claims Handling),No,Question of Fact; Claim Settled; Information Furnished,6/13/2024,8/30/2024,Property and Casualty,Automobile,Individual Private Pass,Insured; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; UNCOOPERATIVE INSURED
395364,State Farm Fire and Casualty Company,Insured,Cust Service Claim Handling; Delays (Claims Handling),No,Information Furnished; Additional Monies Received; Corrective Action Taken,6/13/2024,8/21/2024,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1507,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
395377,State Farm Mutual Automobile Insurance Company,Insured,Premium and Rating,No,Information Furnished; Company Position Upheld,6/13/2024,8/30/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
395383,State Farm Lloyds,Third Party,Cust Service Claim Handling; Delays (Claims Handling),No,Information Furnished; Additional Monies Received,6/13/2024,9/16/2024,Property and Casualty,Homeowners,Homeowners,Insured; Portal - Agency; Portal - Insured; Portal - Other Company,3105,Ins Co - Licensed/Active,Organization,INDV,
395386,State Farm Lloyds,Insured,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Company Position Upheld; Information Furnished; Contract Language/Legal Issue,6/13/2024,8/29/2024,Property and Casualty,Homeowners,Homeowners,Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; HAIL; ROOF; SENIOR CITIZEN; WATER DAMAGE
395393,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling),Yes,Information Furnished; Corrective Action Taken; Additional Payment Expected,6/13/2024,9/10/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; ROOF
395405,State Farm Mutual Automobile Insurance Company,Attorney,Cust Service Claim Handling; Delays (Claims Handling),No,Information Furnished; Corrective Action Taken,6/14/2024,8/13/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Correspondent Person; Insured; Portal - Agent/Adjuster; Portal - Attorney; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
395436,State Farm Lloyds,Insured,Other; Premium and Rating,No,Additional Payment Expected; Contract Language/Legal Issue; Question of Fact,6/14/2024,9/30/2024,Property and Casualty,Homeowners,Homeowners,Portal - Agency; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; HAIL; ROOF; WIND
395442,State Farm Mutual Automobile Insurance Company,Insured,Refund Of Premium,No,Contract Language/Legal Issue; Question of Fact; Information Furnished,6/14/2024,8/22/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Agency; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
395472,State Farm Mutual Automobile Insurance Company,Third Party,Cust Service Claim Handling; Unsatisfactory Settle/Offer,No,Information Furnished; Company Position Upheld; Question of Fact,6/17/2024,8/7/2024,Property and Casualty,Automobile,Individual Private Pass,Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,DAMAGE DISPUTE
395496,State Farm Mutual Automobile Insurance Company,Third Party,Cust Service Claim Handling,No,Contract Language/Legal Issue; Information Furnished; Company Position Upheld,6/17/2024,9/18/2024,Property and Casualty,Automobile,Individual Private Pass,Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,
395502,State Farm Lloyds,Other,Cust Service Claim Handling; Denial Of Claim,No,Contract Language/Legal Issue; Question of Fact; Company Position Upheld,6/17/2024,9/18/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Correspondent Person; Insured; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; DAMAGE DISPUTE; HAIL; ROOF; WATER DAMAGE; WIND
395505,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling); Denial Of Claim,No,Company Position Upheld; Information Furnished; Contract Language/Legal Issue,6/17/2024,8/19/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,
395535,State Farm Lloyds,Insured,Delays (Policyholder Service),No,Question of Fact; Corrective Action Taken,6/17/2024,10/1/2024,Property and Casualty,Liability,General Liability,Associated Subject Person; Correspondent Person; Portal - Agency; Portal - Agent/Adjuster; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,ORG,
395548,State Farm Lloyds,Other,Cust Service Claim Handling; Delays (Claims Handling),No,Information Furnished; Question of Fact; Contract Language/Legal Issue,6/17/2024,8/26/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Correspondent Person; Insured; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; DEDUCTIBLE; HAIL; ROOF
395584,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Information Furnished; Claim Settled,6/17/2024,8/15/2024,Property and Casualty,Automobile,Individual Private Pass,Insured; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,DIMINISHED VALUE; LOSS OF USE
395586,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling),No,Contract Language/Legal Issue; Company Position Upheld; Information Furnished,6/17/2024,8/5/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Agency; Portal - Agent/Adjuster; Portal - Company; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,
395600,State Farm Mutual Automobile Insurance Company,Other,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Question of Fact; Additional Monies Received; Contract Language/Legal Issue,6/17/2024,9/9/2024,Property and Casualty,Automobile,Individual Private Pass,Correspondent Person; Insured; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; DAMAGE DISPUTE; HAIL; STORAGE FEE
395610,State Farm County Mutual Insurance Company of Texas,Insured,Delays (Policyholder Service); Refund Of Premium,No,Contract Language/Legal Issue; Information Furnished,6/17/2024,8/13/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1506,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
395624,State Farm Mutual Automobile Insurance Company,Third Party,Unsatisfactory Settle/Offer,No,Information Furnished; Claim Settled,6/17/2024,8/23/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Insured; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,WATER DAMAGE
395628,State Farm Lloyds,Other,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Information Furnished,6/17/2024,7/24/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Correspondent Person; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; HAIL; ROOF
395689,State Farm Lloyds,Other,Cust Service Claim Handling; Delays (Claims Handling),No,Question of Fact; Additional Payment Expected; Information Furnished,6/18/2024,7/8/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Correspondent Person; Insured; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; LIGHTNING; WATER DAMAGE
395712,State Farm Mutual Automobile Insurance Company,Third Party,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,Yes,Corrective Action Taken; Question of Fact; Claim Settled,6/18/2024,8/13/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Company; Correspondent Person; Insured; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,ORG,DIMINISHED VALUE; HAIL; LOSS OF USE
395719,State Farm Mutual Automobile Insurance Company,Third Party,Denial Of Claim,No,Question of Fact; Information Furnished; Company Position Upheld,6/18/2024,8/16/2024,Property and Casualty,Automobile,Individual Private Pass,Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,
395722,State Farm Lloyds,Insured,Denial Of Claim,No,Information Furnished; Claim Settled; Company Position Upheld,6/18/2024,9/10/2024,Property and Casualty,Homeowners,Mobile Homeowner,Associated Subject Person; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; MOLD; ROOF; WATER DAMAGE; WIND
395736,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Unsatisfactory Settle/Offer,No,Information Furnished; Company Position Upheld; Contract Language/Legal Issue,6/18/2024,8/22/2024,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,REPAIR CHOICE
395740,State Farm Lloyds,Other,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,Yes,Claim Settled; Corrective Action Taken,6/18/2024,9/10/2024,Property and Casualty,Homeowners,Homeowners,Correspondent Person; Insured; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; DEDUCTIBLE; HAIL; ROOF; WIND
395745,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling),No,Additional Payment Expected; Information Furnished,6/18/2024,8/14/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Company; Associated Subject Person; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; LOSS OF USE
395761,State Farm Mutual Automobile Insurance Company,Attorney,Cust Service Claim Handling; Delays (Claims Handling),Yes,Information Furnished; Corrective Action Taken,6/18/2024,9/11/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Correspondent Person; Insured; Portal - Agent/Adjuster; Portal - Attorney; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
395772,State Farm Mutual Automobile Insurance Company,Provider,Delays (Claims Handling),No,Question of Fact; Company Position Upheld; Information Furnished,6/19/2024,8/28/2024,Property and Casualty,Automobile,Individual Private Pass,Insured; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
395774,State Farm Mutual Automobile Insurance Company,Other,Cust Service Claim Handling; Delays (Claims Handling),Yes,Information Furnished; Claim Settled; Additional Monies Received,6/19/2024,8/29/2024,Property and Casualty,Automobile,Individual Private Pass,Correspondent Person; Insured; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,ORG,HAIL
395779,State Farm Mutual Automobile Insurance Company,Other,Unsatisfactory Settle/Offer,No,Information Furnished; Question of Fact; Company Position Upheld,6/19/2024,9/13/2024,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Insured; Portal - Agent/Adjuster; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,ORG,
395826,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling),No,Information Furnished; Contract Language/Legal Issue,6/19/2024,9/23/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; APPRAISAL; DEDUCTIBLE; ROOF; WATER DAMAGE; WIND
395860,State Farm County Mutual Insurance Company of Texas,Insured,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Company Position Upheld; Information Furnished; Question of Fact,6/19/2024,8/23/2024,Property and Casualty,Automobile,Individual Private Pass,Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1506,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE
395884,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Company Position Upheld; Information Furnished,6/19/2024,7/15/2024,Property and Casualty,Homeowners,Homeowners,Associated Subject Person; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,DAMAGE DISPUTE; HAIL; ROOF
